path,scan_and_pvol_count,error_no_vradh,radar
belgium/2014/20140928.tgz,96,96,bewid
belgium/2014/20141213.tgz,154,154,bejab|bewid
belgium/2015/20150107.tgz,12,12,bejab|bewid
belgium/2015/20150507.tgz,183,183,bejab|bewid
belgium/2015/20150508.tgz,192,192,bejab|bewid
belgium/2015/20150509.tgz,192,192,bejab|bewid
belgium/2015/20150510.tgz,192,192,bejab|bewid
belgium/2015/20150511.tgz,192,192,bejab|bewid
belgium/2015/20150512.tgz,192,192,bejab|bewid
belgium/2015/20150513.tgz,192,192,bejab|bewid
belgium/2015/20150514.tgz,192,192,bejab|bewid
belgium/2015/20150515.tgz,192,192,bejab|bewid
belgium/2015/20150516.tgz,192,192,bejab|bewid
belgium/2015/20150517.tgz,192,192,bejab|bewid
belgium/2015/20150518.tgz,192,192,bejab|bewid
belgium/2015/20150519.tgz,192,192,bejab|bewid
belgium/2015/20150520.tgz,192,192,bejab|bewid
belgium/2015/20150521.tgz,192,192,bejab|bewid
belgium/2015/20150522.tgz,192,192,bejab|bewid
belgium/2015/20150523.tgz,192,192,bejab|bewid
belgium/2015/20150524.tgz,192,192,bejab|bewid
belgium/2015/20150525.tgz,192,192,bejab|bewid
belgium/2015/20150531.tgz,192,192,bejab|bewid
belgium/2015/20150601.tgz,108,108,bejab|bewid
belgium/2015/20150604.tgz,192,192,bejab|bewid
belgium/2015/20150605.tgz,192,192,bejab|bewid
belgium/2015/20150611.tgz,192,192,bejab|bewid
belgium/2015/20150612.tgz,192,192,bejab|bewid
belgium/2015/20150614.tgz,185,185,bejab|bewid
belgium/2015/20150615.tgz,192,192,bejab|bewid
belgium/2015/20150616.tgz,192,192,bejab|bewid
belgium/2015/20150617.tgz,192,192,bejab|bewid
belgium/2015/20150619.tgz,172,172,bejab|bewid
belgium/2015/20150620.tgz,126,126,bejab|bewid
belgium/2015/20150621.tgz,192,192,bejab|bewid
belgium/2015/20150622.tgz,192,192,bejab|bewid
belgium/2015/20150624.tgz,192,192,bejab|bewid
belgium/2015/20150625.tgz,192,192,bejab|bewid
belgium/2015/20150626.tgz,192,192,bejab|bewid
belgium/2015/20150703.tgz,192,192,bejab|bewid
belgium/2015/20150705.tgz,192,192,bejab|bewid
belgium/2015/20150706.tgz,192,192,bejab|bewid
belgium/2015/20150708.tgz,177,177,bejab|bewid
belgium/2015/20150709.tgz,192,192,bejab|bewid
belgium/2015/20150710.tgz,192,192,bejab|bewid
belgium/2015/20150714.tgz,192,192,bejab|bewid
belgium/2015/20150715.tgz,192,192,bejab|bewid
belgium/2015/20150717.tgz,192,192,bejab|bewid
belgium/2015/20150718.tgz,192,192,bejab|bewid
belgium/2015/20150720.tgz,192,192,bejab|bewid
belgium/2015/20150721.tgz,192,192,bejab|bewid
belgium/2015/20150723.tgz,192,192,bejab|bewid
belgium/2015/20150725.tgz,192,192,bejab|bewid
belgium/2015/20150728.tgz,192,192,bejab|bewid
belgium/2015/20150729.tgz,192,192,bejab|bewid
belgium/2015/20150730.tgz,192,192,bejab|bewid
belgium/2015/20150731.tgz,192,192,bejab|bewid
belgium/2015/20150801.tgz,192,192,bejab|bewid
belgium/2015/20150814.tgz,191,191,bejab|bewid
belgium/2015/20150815.tgz,192,192,bejab|bewid
belgium/2015/20150822.tgz,192,192,bejab|bewid
belgium/2015/20150825.tgz,192,192,bejab|bewid
belgium/2015/20150826.tgz,192,192,bejab|bewid
belgium/2015/20150827.tgz,192,192,bejab|bewid
belgium/2015/20150829.tgz,192,192,bejab|bewid
belgium/2015/20150830.tgz,192,192,bejab|bewid
belgium/2015/20150831.tgz,192,192,bejab|bewid
belgium/2015/20150901.tgz,192,192,bejab|bewid
belgium/2015/20150902.tgz,192,192,bejab|bewid
belgium/2015/20150903.tgz,190,190,bejab|bewid
belgium/2015/20150904.tgz,192,192,bejab|bewid
belgium/2015/20150905.tgz,192,192,bejab|bewid
belgium/2015/20150907.tgz,192,192,bejab|bewid
belgium/2015/20150908.tgz,192,192,bejab|bewid
belgium/2015/20150909.tgz,192,192,bejab|bewid
belgium/2015/20150912.tgz,192,192,bejab|bewid
belgium/2015/20150913.tgz,192,192,bejab|bewid
belgium/2015/20150914.tgz,192,192,bejab|bewid
belgium/2015/20150915.tgz,192,192,bejab|bewid
belgium/2015/20150916.tgz,192,192,bejab|bewid
belgium/2015/20150919.tgz,192,192,bejab|bewid
belgium/2015/20150921.tgz,191,191,bejab|bewid
belgium/2015/20150923.tgz,192,192,bejab|bewid
belgium/2015/20150924.tgz,192,192,bejab|bewid
belgium/2015/20150925.tgz,192,192,bejab|bewid
belgium/2015/20150926.tgz,192,192,bejab|bewid
belgium/2015/20150927.tgz,192,192,bejab|bewid
belgium/2015/20150928.tgz,192,192,bejab|bewid
belgium/2015/20151001.tgz,192,192,bejab|bewid
belgium/2015/20151002.tgz,192,192,bejab|bewid
belgium/2015/20151003.tgz,192,192,bejab|bewid
belgium/2015/20151006.tgz,192,192,bejab|bewid
belgium/2015/20151007.tgz,192,192,bejab|bewid
belgium/2015/20151008.tgz,192,192,bejab|bewid
belgium/2015/20151009.tgz,192,192,bejab|bewid
belgium/2015/20151010.tgz,192,192,bejab|bewid
belgium/2015/20151011.tgz,192,192,bejab|bewid
belgium/2015/20151014.tgz,192,192,bejab|bewid
belgium/2015/20151015.tgz,192,192,bejab|bewid
belgium/2015/20151017.tgz,192,192,bejab|bewid
belgium/2015/20151019.tgz,167,167,bejab|bewid
belgium/2015/20151021.tgz,192,192,bejab|bewid
belgium/2015/20151022.tgz,192,192,bejab|bewid
belgium/2015/20151023.tgz,191,191,bejab|bewid
belgium/2015/20151024.tgz,192,192,bejab|bewid
belgium/2015/20151025.tgz,192,192,bejab|bewid
belgium/2015/20151026.tgz,192,192,bejab|bewid
belgium/2015/20151027.tgz,192,192,bejab|bewid
belgium/2015/20151028.tgz,192,192,bejab|bewid
belgium/2015/20151029.tgz,192,192,bejab|bewid
belgium/2015/20151030.tgz,192,192,bejab|bewid
belgium/2015/20151031.tgz,192,192,bejab|bewid
belgium/2015/20151101.tgz,177,177,bejab|bewid
belgium/2015/20151102.tgz,192,192,bejab|bewid
belgium/2015/20151103.tgz,192,192,bejab|bewid
belgium/2015/20151203.tgz,37,37,bewid
belgium/2017/20170122.tgz,288,288,bewid
belgium/2017/20170123.tgz,288,288,bewid
belgium/2017/20170124.tgz,288,288,bewid
belgium/2017/20170125.tgz,288,288,bewid
belgium/2017/20170126.tgz,288,288,bewid
belgium/2017/20170127.tgz,288,288,bewid
belgium/2017/20170128.tgz,288,288,bewid
belgium/2017/20170129.tgz,288,288,bewid
belgium/2017/20170130.tgz,288,288,bewid
belgium/2017/20170131.tgz,288,288,bewid
belgium/2017/20170201.tgz,288,288,bewid
belgium/2017/20170202.tgz,288,288,bewid
belgium/2017/20170203.tgz,287,287,bewid
belgium/2017/20170204.tgz,288,288,bewid
belgium/2017/20170205.tgz,288,288,bewid
belgium/2017/20170206.tgz,288,288,bewid
belgium/2017/20170207.tgz,288,288,bewid
belgium/2017/20170208.tgz,288,288,bewid
belgium/2017/20170209.tgz,288,288,bewid
czechia/2012/20120124.tgz,96,96,czbrd|czska
czechia/2012/20120125.tgz,189,189,czbrd|czska
czechia/2012/20120126.tgz,189,189,czbrd|czska
czechia/2012/20120127.tgz,190,190,czbrd|czska
czechia/2012/20120128.tgz,192,192,czbrd|czska
czechia/2012/20120129.tgz,192,192,czbrd|czska
czechia/2012/20120130.tgz,178,178,czbrd|czska
czechia/2012/20120131.tgz,188,188,czbrd|czska
czechia/2012/20120201.tgz,192,192,czbrd|czska
czechia/2012/20120202.tgz,192,192,czbrd|czska
czechia/2012/20120203.tgz,192,192,czbrd|czska
czechia/2012/20120204.tgz,192,192,czbrd|czska
czechia/2012/20120205.tgz,192,192,czbrd|czska
czechia/2012/20120206.tgz,192,192,czbrd|czska
czechia/2012/20120207.tgz,192,192,czbrd|czska
czechia/2012/20120208.tgz,192,192,czbrd|czska
czechia/2012/20120209.tgz,192,192,czbrd|czska
